id,title,image_id,artist_display,date_display
113458,Scene at a Hearing: The Accused (recto); Courtroom Gallery (verso),911c0013-b4ba-5f3a-0559-e4dc55a38d8b,"Jean Louis Forain
French, 1852-1931",1872/1931
191556,The Room No. VI,3cc73910-3b2a-5e23-b458-679d84188f06,"Eldzier Cortor
American, 1916–2015",1948
117228,Studies of Horses,3a8dede1-b85c-2a50-8e9a-80e1c80a4240,"Jules-Élie Delaunay
French, 1828-1891",n.d.
96691,Head,e2f36512-3f69-0f49-c494-da4e9d81c7a7,"Pavel Tchelitchew
American, born Russia, 1898-1957",1951
70521,"Low Rise Office Building Proposal, Front Elevation",0a4b234f-c774-0951-3e22-cca310735fa4,"Burnham and Hammond
American, active mid-20th century",c. 1937
66432,Vernissage 6845th Salon,d0882321-97e0-b190-46f4-11f59d992764,"Richard Aberle Florsheim (American, 1916-1979)
Paul Pinson (French, 20th century)",1956/57
3732,Child Holding Hands above Head,13ef7bcd-aff6-efdb-6d9c-6a6fa8ba602a,"Possibly Samuel De Wilde (English, 1748-1832)
or style of John Downman (English, 1750-1824)",n.d.
113880,Coney Island Beach with Couples Embracing (recto); Couple Embracing on Coney Island Beach (verso),72784ffd-9a77-88c7-1b02-e8ba02fa09a5,"Reginald Marsh
American, 1898-1954",1947
239622,"The Theater in the Rock, Oya II, Site Plan",491b52be-0a42-b5fc-c381-499d3b94af01,"Tadao Ando
Japanese, born 1941",1998
199649,Image from a Set of Initiation Cards (Tsakali),4dd20098-9961-3000-9cbf-af048378c7ba,Southern Tibet,14th/15th century
82240,Madonna and Child,16b3c6d9-0c73-a125-e97b-8a5b279c06a2,"Possbily after Carlo Maratti (Italian, 1625-1713)
or Style of Lodovico Carracci (Italian, 1555-1619)",n.d.
61809,Self-Portrait,ee4c622b-2ac6-8696-be66-dc1b60f60525,"Henri Gaudier-Brzeska
French, 1891-1915",n.d.
78926,Study for Rondanini Medusa,c90002ff-db69-896a-b214-60db6bd6bdc2,"Sir Edward Burne-Jones
English, 1833-1898",c. 1873–77
